RA,DEC,kic_kepler_id,Tef,logg,[Fe/H],m_g,dist(pc),M_g,BC,M_bol,L,e_L,R,e_R,M,e_M
281.814292742,42.181249949299996,6665362,6055.0,4.11,-0.59,15.956938699999998,2570.07666,3.91,0.054,3.96,2.05,0.04,1.3,0.02,1.09,0.07
281.81791241900004,42.1481454789,6665365,5568.0,4.17,-0.24,16.5753384,2904.0293,4.26,0.056,4.32,1.48,0.03,1.31,0.01,1.02,0.07
281.822691245,42.1620882842,6665374,5945.0,4.08,-0.18,15.784912099999998,2521.9614300000007,3.78,0.079,3.86,2.26,0.05,1.42,0.02,1.18,0.08
281.83229404400004,42.1397029557,6665389,5703.0,4.24,-0.53,15.6267204,1666.30591,4.52,0.049,4.57,1.17,0.02,1.11,0.01,0.97,0.06
281.835689688,42.1319942754,6665395,5390.0,4.36,-0.52,15.770731,1373.34924,5.08,0.034,5.12,0.71,0.01,0.97,0.01,0.85,0.05
281.850835445,42.1872216152,6665419,7383.0,4.19,-0.55,17.1923046,5033.6626,3.68,0.076,3.76,2.47,0.05,0.96,0.03,1.41,0.09
281.906285605,42.1623029602,6665522,6084.0,4.17,-0.6,17.1850986,4549.60693,3.9,0.054,3.95,2.07,0.04,1.3,0.02,1.07,0.07
281.91005711,42.1319465268,6665532,5743.0,4.07,-0.47,15.9798279,2480.1765100000002,4.01,0.049,4.06,1.88,0.04,1.39,0.01,1.05,0.07
281.915183308,42.1777806082,6665537,4881.0,2.99,-0.46,15.507933600000001,6643.89453,1.4,0.002,1.4,21.72,0.44,6.54,0.03,1.59,0.1
281.916076904,42.1976814873,6665539,5965.0,4.14,-0.73,17.2545586,3615.58081,4.46,0.054,4.52,1.23,0.02,1.04,0.01,1.02,0.07
281.927489565,42.1619616916,6665554,5580.0,,0.01,,,,,,,,,,,
281.93469063,42.1749839273,6665570,5651.0,4.24,-0.04,15.5622025,1645.3442400000001,4.48,0.075,4.56,1.18,0.02,1.14,0.01,1.07,0.07
281.950176009,42.1627749874,6665606,5469.0,3.82,0.21,14.7569628,1593.11926,3.75,0.056,3.8,2.37,0.05,1.72,0.01,1.29,0.08
281.96186909700003,42.1011959008,6665630,5988.0,4.05,-0.01,14.419449800000002,1758.62927,3.19,0.079,3.27,3.86,0.08,1.83,0.02,1.26,0.08
281.971305659,42.1721690407,6665644,5513.0,4.24,-0.16,16.711976999999994,2442.06567,4.77,0.056,4.83,0.92,0.02,1.06,0.01,1.0,0.06
281.971375061,42.1759848048,6665645,5714.0,4.07,-0.37,16.944126100000002,3716.6455100000003,4.09,0.049,4.14,1.73,0.04,1.35,0.01,1.07,0.07
281.979745577,42.1098337696,6665656,5807.0,4.13,-0.61,16.5301132,2966.4484899999998,4.17,0.051,4.22,1.61,0.03,1.26,0.01,1.01,0.06
281.987954291,42.1497489317,6665671,5837.0,4.12,-1.09,17.4551315,3774.1701700000003,4.57,0.024,4.59,1.14,0.02,1.05,0.01,0.91,0.06
281.98919206,42.1734595651,6665675,5280.0,4.42,-0.29,16.548904399999998,1899.43433,5.16,0.018,5.17,0.67,0.01,0.98,0.01,0.86,0.06
281.998406818,42.165487516700004,6665688,5606.0,4.17,0.24,14.4605131,1130.21594,4.19,0.056,4.25,1.57,0.03,1.33,0.01,1.15,0.07
281.999585373,42.146668347600006,6665690,4812.0,3.04,-0.55,16.0842113,14296.6768,0.31,-0.065,0.24,62.92,1.27,11.45,0.06,1.46,0.09
282.02097712,42.1568050379,6665734,4813.0,4.68,-0.1,14.223529800000001,349.34036299999997,6.51,-0.054,6.45,0.21,0.0,0.66,0.0,0.74,0.05
282.040110972,42.1087937805,6665767,5587.0,4.03,-0.44,17.113290799999998,3959.64185,4.13,0.036,4.16,1.7,0.03,1.4,0.01,1.04,0.07
282.045302819,42.144158880300004,6665780,5071.0,3.54,-0.57,16.074398000000002,3854.22583,3.14,0.002,3.15,4.34,0.09,2.71,0.02,1.12,0.07
282.048240769,42.1669233925,6665782,4466.0,2.45,-0.03,14.2474051,5120.1635700000015,0.7,-0.123,0.58,46.2,0.94,11.38,0.04,2.3,0.15
282.05614822900003,42.1434398951,6665800,5221.0,3.38,-0.45,16.3227768,10567.1201,1.2,0.025,1.23,25.4,0.51,6.18,0.04,1.34,0.09
282.05957070700003,42.1148901814,6665803,5047.0,4.57,0.06,15.4163046,965.568726,5.49,-0.005,5.49,0.5,0.01,0.93,0.01,0.84,0.05
282.06729862599997,42.1178494279,6665815,5750.0,3.96,-0.66,16.235960000000002,3014.57715,3.84,0.052,3.89,2.18,0.04,1.49,0.01,1.06,0.07
282.076077146,42.1463160814,6665836,5723.0,4.32,-0.3,16.5337429,1841.60913,5.21,0.046,5.25,0.62,0.01,0.81,0.01,1.0,0.06
282.078338379,42.1270889755,6665840,5339.0,4.56,0.02,15.6506386,982.2976070000001,5.69,0.024,5.71,0.41,0.01,0.75,0.01,0.91,0.06
282.101751877,42.1675885569,6665874,5607.0,4.11,-0.03,15.247693099999998,1541.80688,4.31,0.056,4.36,1.42,0.03,1.26,0.01,1.11,0.07
282.102122215,42.103282164,6665875,5089.0,3.63,-0.4,16.2063828,4080.10229,3.15,0.003,3.16,4.3,0.09,2.68,0.02,1.11,0.07
282.105270947,42.196633485999996,6665877,5199.0,4.58,0.08,15.7054052,958.4207759999999,5.8,0.024,5.82,0.37,0.01,0.75,0.0,0.89,0.06
282.117297443,42.1720619774,6665902,5604.0,3.75,-0.41,15.671471599999999,3542.68652,2.92,0.047,2.97,5.1,0.1,2.4,0.02,1.2,0.08
282.126092933,42.158191947199995,6665918,5507.0,4.35,-0.05,15.9197025,1606.67224,4.89,0.054,4.94,0.83,0.02,1.0,0.01,0.99,0.06
282.15643857,42.1967118251,6665978,6129.0,4.12,-0.14,14.0892992,1851.44519,2.75,0.1,2.85,5.69,0.12,2.12,0.03,1.23,0.08
282.188128763,42.1969225824,6666043,5540.0,4.28,0.04,16.5354843,2529.47729,4.52,0.054,4.57,1.16,0.02,1.17,0.01,1.04,0.07
282.223799785,42.152338824,6666128,5442.0,4.09,-0.18,15.789619400000001,2426.1875,3.86,0.056,3.92,2.13,0.04,1.65,0.01,1.03,0.07
282.277290363,42.1155903329,6666221,5821.0,4.23,-0.31,16.0432663,1835.2752699999999,4.72,0.051,4.78,0.97,0.02,0.97,0.01,1.05,0.07
282.285346301,42.1799849219,6666235,5725.0,4.31,-0.56,16.644184099999997,2097.07031,5.04,0.046,5.08,0.73,0.01,0.87,0.01,0.94,0.06
282.29367107,42.1248511166,6666264,5615.0,4.02,-0.33,15.976572,2499.90894,3.99,0.036,4.02,1.94,0.04,1.47,0.01,1.08,0.07
282.305411304,42.1169247035,6666282,6132.0,4.17,-0.64,16.8824863,3764.74268,4.0,0.067,4.07,1.85,0.04,1.21,0.02,1.07,0.07
282.314250041,42.1300237408,6666299,5446.0,3.85,-0.52,15.925437900000002,2442.46069,3.99,0.036,4.02,1.94,0.04,1.57,0.01,1.07,0.07
282.317077589,42.1605224837,6666308,5785.0,4.27,-0.31,15.482562099999999,1291.54651,4.93,0.048,4.98,0.81,0.02,0.9,0.01,1.03,0.07
282.323236687,42.138383115,6666321,5293.0,4.41,0.2,15.092222199999998,887.6218259999997,5.35,0.025,5.38,0.56,0.01,0.89,0.01,0.97,0.06
282.328129685,42.1582625981,6666337,5669.0,4.08,-0.34,15.748373,1979.5878899999998,4.27,0.049,4.31,1.48,0.03,1.26,0.01,1.06,0.07
282.369594268,42.1978182844,6666426,5617.0,4.1,-0.47,16.5596104,2693.97559,4.41,0.036,4.44,1.31,0.03,1.21,0.01,1.01,0.06
